x1,y1,x2,y2,x3,y3,x4,y4
174.93333333333334,807.4666666666667,184.53333333333333,711.4666666666667,91.73333333333333,712.5333333333333,78.93333333333334,808.5333333333333
284.8,805.3333333333334,291.2,709.3333333333334,197.33333333333334,710.4,187.73333333333332,806.4
393.6,803.2,395.73333333333335,708.2666666666667,301.8666666666667,708.2666666666667,295.46666666666664,804.2666666666667
503.46666666666664,801.0666666666666,501.3333333333333,705.0666666666666,406.4,708.2666666666667,406.4,803.2
613.3333333333334,798.9333333333333,606.9333333333333,702.9333333333333,512.0,706.1333333333333,514.1333333333333,801.0666666666666
729.6,796.8,718.9333333333333,701.8666666666667,616.5333333333333,704.0,622.9333333333333,800.0
840.5333333333333,794.6666666666666,825.6,699.7333333333333,728.5333333333333,701.8666666666667,739.2,797.8666666666667
951.4666666666667,792.5333333333333,934.4,697.6,836.2666666666667,700.8,850.1333333333333,795.7333333333333
184.53333333333333,699.7333333333333,193.06666666666666,613.3333333333334,103.46666666666667,614.4,91.73333333333333,700.8
290.1333333333333,697.6,296.5333333333333,611.2,205.86666666666667,612.2666666666667,197.33333333333334,698.6666666666666
395.73333333333335,696.5333333333333,397.8666666666667,610.1333333333333,307.2,610.1333333333333,300.8,696.5333333333333
501.3333333333333,694.4,500.26666666666665,608.0,409.6,609.0666666666666,407.46666666666664,695.4666666666667
606.9333333333333,692.2666666666667,603.7333333333333,605.8666666666667,510.93333333333334,606.9333333333333,510.93333333333334,693.3333333333334
718.9333333333333,690.1333333333333,708.2666666666667,603.7333333333333,612.2666666666667,605.8666666666667,617.6,692.2666666666667
824.5333333333333,688.0,811.7333333333333,601.6,717.8666666666667,603.7333333333333,728.5333333333333,690.1333333333333
933.3333333333334,685.8666666666667,917.3333333333334,599.4666666666667,822.4,602.6666666666666,835.1999999999999,689.0666666666666
193.06666666666666,601.6,201.6,521.6,115.2,522.6666666666666,104.53333333333333,602.6666666666666
295.46666666666664,600.5333333333333,300.8,520.5333333333333,213.33333333333334,520.5333333333333,205.86666666666667,600.5333333333333
396.8,598.4,398.93333333333334,518.4,311.46666666666664,519.4666666666667,306.1333333333333,599.4666666666667
500.26666666666665,596.2666666666667,498.1333333333333,516.2666666666667,409.6,518.4,409.6,598.4
601.6,595.2,598.4,515.2,509.8666666666667,515.2,509.8666666666667,595.2
707.2,593.0666666666666,699.7333333333333,513.0666666666666,608.0,514.1333333333333,611.2,594.1333333333333
811.7333333333333,590.9333333333333,798.9333333333333,510.93333333333334,708.2666666666667,513.0666666666666,717.8666666666667,593.0666666666666
916.2666666666667,588.8,901.3333333333334,508.8,809.6,512.0,821.3333333333334,592.0
201.6,512.0,209.06666666666666,438.4,124.8,439.46666666666664,115.2,513.0666666666666
300.8,510.93333333333334,305.06666666666666,437.3333333333333,220.79999999999998,437.3333333333333,213.33333333333334,510.93333333333334
398.93333333333334,508.8,401.06666666666666,435.2,315.73333333333335,436.26666666666665,311.46666666666664,509.8666666666667
498.1333333333333,506.6666666666667,496.0,433.06666666666666,411.73333333333335,435.2,411.73333333333335,508.8
597.3333333333334,505.59999999999997,594.1333333333333,432.0,507.73333333333335,432.0,507.73333333333335,505.59999999999997
697.6,503.46666666666664,691.2,429.8666666666667,603.7333333333333,430.93333333333334,606.9333333333333,504.5333333333333
798.9333333333333,501.3333333333333,787.2,427.73333333333335,699.7333333333333,429.8666666666667,708.2666666666667,503.46666666666664
899.1999999999999,500.26666666666665,887.4666666666667,426.6666666666667,798.9333333333333,427.73333333333335,807.4666666666667,500.26666666666665
208.0,429.8666666666667,215.46666666666667,363.73333333333335,134.4,364.8,125.86666666666666,429.8666666666667
305.06666666666666,427.73333333333335,309.3333333333333,360.5333333333333,227.2,361.6,220.79999999999998,427.73333333333335
400.0,426.6666666666667,402.1333333333333,357.3333333333333,320.0,358.4,315.73333333333335,426.6666666666667
496.0,424.5333333333333,496.0,354.1333333333333,413.8666666666667,355.2,411.73333333333335,424.5333333333333
593.0666666666666,423.46666666666664,589.8666666666667,349.8666666666667,506.6666666666667,352.0,506.6666666666667,423.46666666666664
689.0666666666666,421.3333333333333,682.6666666666666,346.6666666666667,599.4666666666667,348.8,602.6666666666666,422.4
787.2,419.2,775.4666666666667,342.4,691.2,346.6666666666667,699.7333333333333,421.3333333333333
885.3333333333334,417.06666666666666,871.4666666666667,339.2,786.1333333333333,343.46666666666664,797.8666666666667,420.26666666666665
214.4,355.2,221.86666666666667,288.0,144.0,290.1333333333333,134.4,357.3333333333333
221.86666666666667,278.4,228.26666666666665,217.6,152.53333333333333,219.73333333333332,144.0,280.5333333333333
227.2,208.0,233.6,150.4,161.06666666666666,152.53333333333333,152.53333333333333,210.13333333333333
308.26666666666665,352.0,313.6,284.8,233.6,286.93333333333334,227.2,354.1333333333333
312.5333333333333,275.2,316.8,214.4,240.0,216.53333333333333,233.6,277.3333333333333
316.8,204.8,320.0,147.2,246.4,149.33333333333334,240.0,206.93333333333334
401.06666666666666,348.8,403.2,281.6,324.26666666666665,283.73333333333335,320.0,350.93333333333334
402.1333333333333,272.0,404.26666666666665,211.2,327.46666666666664,213.33333333333334,323.2,274.1333333333333
221.86666666666667,288.0,221.86666666666667,278.4,144.0,278.4,144.0,290.1333333333333
404.26666666666665,202.66666666666666,405.3333333333333,145.06666666666666,331.73333333333335,146.13333333333333,327.46666666666664,203.73333333333332
494.93333333333334,345.6,494.93333333333334,278.4,414.93333333333334,280.5333333333333,412.8,347.73333333333335
493.8666666666667,268.8,493.8666666666667,208.0,416.0,210.13333333333333,413.8666666666667,270.93333333333334
491.73333333333335,199.46666666666667,492.8,141.86666666666667,418.1333333333333,142.93333333333334,416.0,200.53333333333333
580.2666666666667,196.26666666666665,579.2,138.66666666666666,503.46666666666664,139.73333333333332,502.4,197.33333333333334
584.5333333333333,265.6,582.4,204.8,504.5333333333333,206.93333333333334,504.5333333333333,267.73333333333335
588.8,342.4,585.6,275.2,505.59999999999997,277.3333333333333,505.59999999999997,343.46666666666664
221.86666666666667,278.4,221.86666666666667,201.6,144.0,201.6,144.0,278.4
665.6,193.06666666666666,660.2666666666667,135.46666666666667,589.8666666666667,136.53333333333333,589.8666666666667,193.06666666666666
672.0,262.4,667.7333333333333,201.6,592.0,203.73333333333332,594.1333333333333,264.5333333333333
680.5333333333333,339.2,675.2,273.06666666666666,595.2,274.1333333333333,598.4,340.26666666666665
753.0666666666666,189.86666666666667,746.6666666666666,132.26666666666665,669.8666666666667,134.4,675.2,192.0
763.7333333333333,259.2,756.2666666666667,198.4,677.3333333333334,200.53333333333333,681.6,260.26666666666665
774.4,336.0,765.8666666666667,268.8,684.8,270.93333333333334,690.1333333333333,337.06666666666666
843.7333333333333,186.66666666666666,835.1999999999999,129.06666666666666,757.3333333333334,131.2,763.7333333333333,187.73333333333332
856.5333333333333,256.0,846.9333333333333,195.2,766.9333333333333,197.33333333333334,774.4,258.1333333333333
869.3333333333334,331.73333333333335,859.7333333333333,266.6666666666667,776.5333333333333,267.73333333333335,784.0,332.8
233.6,139.73333333333332,241.06666666666666,68.26666666666667,170.66666666666666,69.33333333333333,161.06666666666666,141.86666666666667
320.0,137.6,325.3333333333333,65.06666666666666,252.79999999999998,66.13333333333333,246.4,138.66666666666666
405.3333333333333,134.4,407.46666666666664,62.93333333333333,336.0,64.0,330.6666666666667,135.46666666666667
491.73333333333335,130.13333333333333,489.59999999999997,58.666666666666664,418.1333333333333,61.86666666666667,418.1333333333333,133.33333333333334
578.1333333333333,126.93333333333334,573.8666666666667,55.46666666666667,500.26666666666665,59.733333333333334,502.4,131.2
659.2,124.8,650.6666666666666,53.333333333333336,583.4666666666667,56.53333333333333,587.7333333333333,128.0
745.6,121.6,733.8666666666667,50.13333333333333,660.2666666666667,53.333333333333336,668.8,124.8
